2025-03-18 14:48:23,432 - WARNING - Record ID 58: SessionID mismatch. DB: EW003, Extracted: session-id-10
2025-03-18 14:48:23,435 - WARNING - Record ID 59: SessionID mismatch. DB: EW004, Extracted: session-id-9
2025-03-18 14:48:23,438 - WARNING - Record ID 60: SessionID mismatch. DB: EW005, Extracted: session-id-12
2025-03-18 14:48:23,441 - WARNING - Record ID 61: SessionID mismatch. DB: EW006, Extracted: session-id-14
2025-03-18 14:48:23,443 - WARNING - Record ID 62: SessionID mismatch. DB: EW025, Extracted: session-id-39
2025-03-18 14:48:23,447 - WARNING - Record ID 63: SessionID mismatch. DB: EW026, Extracted: session-id-41
2025-03-18 14:48:23,450 - WARNING - Record ID 64: SessionID mismatch. DB: EW027, Extracted: session-id-38
2025-03-18 14:48:23,453 - WARNING - Record ID 65: SessionID mismatch. DB: EW028, Extracted: session-id-37
2025-03-18 14:48:23,456 - WARNING - Record ID 66: SessionID mismatch. DB: EW029, Extracted: session-id-40
2025-03-18 14:48:23,460 - WARNING - Record ID 67: SessionID mismatch. DB: EW030, Extracted: session-id-42
2025-03-18 14:48:23,463 - WARNING - Record ID 68: SessionID mismatch. DB: EW038, Extracted: session-id-55
2025-03-18 14:48:23,467 - WARNING - Record ID 69: SessionID mismatch. DB: EW039, Extracted: session-id-50
2025-03-18 14:48:23,470 - WARNING - Record ID 70: SessionID mismatch. DB: EW040, Extracted: session-id-51
2025-03-18 14:48:23,473 - WARNING - Record ID 71: SessionID mismatch. DB: EW041, Extracted: session-id-46
2025-03-18 14:48:23,476 - WARNING - Record ID 72: SessionID mismatch. DB: EW042, Extracted: session-id-47
2025-03-18 14:48:23,476 - ERROR - Error inserting into temporary table for record 72: 1406 (22001): Data too long for column 'session_organized_by' at row 1
2025-03-18 14:48:23,479 - WARNING - Record ID 73: SessionID mismatch. DB: EW070, Extracted: session-id-83
2025-03-18 14:48:23,483 - WARNING - Record ID 74: SessionID mismatch. DB: EW071, Extracted: session-id-81
2025-03-18 14:48:23,486 - WARNING - Record ID 75: SessionID mismatch. DB: EW077, Extracted: session-id-92
2025-03-18 14:48:23,489 - WARNING - Record ID 76: SessionID mismatch. DB: EW078, Extracted: session-id-94
2025-03-18 14:48:23,493 - WARNING - Record ID 77: SessionID mismatch. DB: EW079, Extracted: session-id-87
2025-03-18 14:48:23,496 - WARNING - Record ID 78: SessionID mismatch. DB: EW096, Extracted: session-id-115
2025-03-18 14:48:23,499 - WARNING - Record ID 79: SessionID mismatch. DB: EW109, Extracted: session-id-126
2025-03-18 14:48:23,503 - WARNING - Record ID 80: SessionID mismatch. DB: EW118, Extracted: session-id-135
2025-03-18 14:48:23,506 - WARNING - Record ID 81: SessionID mismatch. DB: EW119, Extracted: session-id-130
2025-03-18 14:48:23,509 - WARNING - Record ID 82: SessionID mismatch. DB: EW135, Extracted: session-id-153
2025-03-18 14:48:23,512 - WARNING - Record ID 83: SessionID mismatch. DB: EW146, Extracted: session-id-163
2025-03-18 14:48:23,515 - WARNING - Record ID 84: SessionID mismatch. DB: FIPL1, Extracted: session-id-194
2025-03-18 14:48:23,517 - WARNING - Record ID 85: SessionID mismatch. DB: FIPL2, Extracted: session-id-195
2025-03-18 14:48:23,519 - WARNING - Record ID 86: SessionID mismatch. DB: FIPL3, Extracted: session-id-196
2025-03-18 14:48:23,522 - WARNING - Record ID 87: SessionID mismatch. DB: FIPL4, Extracted: session-id-197
2025-03-18 14:48:23,524 - WARNING - Record ID 88: SessionID mismatch. DB: FIPL5, Extracted: session-id-198
2025-03-18 14:48:23,528 - WARNING - Record ID 89: SessionID mismatch. DB: FIPL6, Extracted: session-id-199
